"","Date_time","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Year","Season","Month","Mean Temperature"
"76",1992-06-01,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1992,"Spring","June",NA
"77",1992-07-01,44,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1992,"Summer","July",NA
"78",1992-08-01,86,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1992,"Summer","August",NA
"79",1992-09-01,559,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,1992,"Summer","September",NA
"80",1992-10-01,425,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,1992,"Fall","October",NA
"81",1993-06-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1993,"Spring","June",NA
"82",1993-07-01,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1993,"Summer","July",NA
"83",1993-08-01,34,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,1993,"Summer","August",NA
"84",1993-09-01,496,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,1993,"Summer","September",NA
"85",1993-10-01,448,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,1993,"Fall","October",NA
"86",1994-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,"Spring","June",NA
"87",1994-07-01,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1994,"Summer","July",NA
"88",1994-08-01,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,1994,"Summer","August",NA
