Location,Date_time,pH,Dissolved Oxygen % Saturation,Temperature,Dissolved Oxygen mg/l,Biochemical Oxygen Demand,Total Coliform,Total Solids,Ammonia,Nitrate + Nitrite,Escherichiac in cfu/100ml,Escherichia in MPN/100ml,Year,Season,Julian
Deschutes River at Deschutes River Park,1988-04-12,8.3,108,12.5,11.6,2.4,NA,80,0.004,0.03,NA,NA,1988,Spring,103
John Day River at Hwy 206,1988-04-12,8,102,16,10.2,1.2,NA,129,0.002,0.02,NA,NA,1988,Spring,103
Deschutes River at Deschutes River Park,1988-05-04,8.1,106,10.5,11.9,1.8,NA,89,0.001,0.02,NA,NA,1988,Spring,125
John Day River at Hwy 206,1988-05-06,8.3,105,13,10.9,1.3,NA,120,0.002,0.02,NA,NA,1988,Spring,127
John Day River at Hwy 206,1988-06-14,8.7,110,21,9.7,0.8,NA,114,0.004,0.02,NA,NA,1988,Spring,166
Deschutes River at Deschutes River Park,1988-06-14,8.6,116,17,11.3,1.4,NA,98,0.003,0.02,NA,NA,1988,Spring,166
Deschutes River at Deschutes River Park,1988-06-17,8.3,108,12.5,11.6,2.4,NA,79,0.003,0.02,NA,NA,1988,Spring,169
John Day River at Hwy 206,1988-06-17,8.2,102,16,10.2,1.2,NA,129,0.002,0.02,NA,NA,1988,Spring,169
Deschutes River at Deschutes River Park,1988-07-18,8.2,106,10.5,11.9,1.8,NA,92,0.002,0.02,NA,NA,1988,Summer,200
John Day River at Hwy 206,1988-07-19,8.7,123,25,10.1,1.2,NA,150,0.005,0.02,NA,NA,1988,Summer,201
Deschutes River at Deschutes River Park,1988-07-19,8.6,123,21,11.1,1.7,NA,89,0.004,0.02,NA,NA,1988,Summer,201
Deschutes River at Deschutes River Park,1988-08-15,8.4,118,18,11.2,1.9,NA,96,0.002,0.05,NA,NA,1988,Summer,228
John Day River at Hwy 206,1988-08-16,8.9,112,23,9.5,2,NA,190,0.01,0.02,NA,NA,1988,Summer,229
Deschutes River at Deschutes River Park,1988-09-26,8.6,121,16,11.5,2.5,NA,98,0.003,0.04,NA,NA,1988,Fall,270
John Day River at Hwy 206,1988-09-28,8.9,118,17,11.2,1.8,NA,220,0.005,0.02,NA,NA,1988,Fall,272
Deschutes River at Deschutes River Park,1988-10-24,8.2,108,13,11.5,1.4,NA,100,7e-4,0.09,NA,NA,1988,Fall,298
John Day River at Hwy 206,1988-10-26,8.6,104,14,10.6,0.6,NA,190,0.002,0.02,NA,NA,1988,Fall,300
Deschutes River at Deschutes River Park,1988-11-22,8.3,106,10.5,11.9,1.9,NA,100,7e-4,0.1,NA,NA,1988,Fall,327
