Location,Date_time,pH,Dissolved Oxygen % Saturation,Temperature,Dissolved Oxygen mg/l,Biochemical Oxygen Demand,Total Coliform,Total Solids,Ammonia,Nitrate + Nitrite,Escherichiac in cfu/100ml,Escherichia in MPN/100ml,Year,Season,Julian
Deschutes River at Deschutes River Park,2014-06-25,8.6,111,17.9,10.4,2.7,NA,89,0.01,0.005,NA,NA,2014,Summer,176
Deschutes River at Deschutes River Park,2014-08-06,8.8,117,19.9,10.6,1.2,NA,103,0.01,0.0395,NA,NA,2014,Summer,218
John Day River at Hwy 206,2014-08-14,9,116,25.9,9.5,0.7,NA,151,0.01,0.0055,NA,NA,2014,Summer,226
John Day River at Hwy 206,2014-10-09,8.7,107,18.3,9.9,0.9,NA,197,0.01,0.005,NA,NA,2014,Fall,282
Deschutes River at Deschutes River Park,2014-10-15,8.4,108,13.8,11.1,1.5,NA,97,0.01,0.0882,NA,NA,2014,Fall,288
Deschutes River at Deschutes River Park,2014-12-03,7.9,102,5.7,12.9,2.1,NA,119,0.01,0.207,NA,NA,2014,Fall,337
John Day River at Hwy 206,2014-12-11,8.4,102,7,12,1.3,NA,155,0.01,0.005,NA,NA,2014,Fall,345
Deschutes River at Deschutes River Park,2015-02-11,8.1,102,8.5,12.1,1.2,NA,87,0.01,0.221,NA,3,2015,Winter,42
John Day River at Hwy 206,2015-02-26,8.4,104,6.8,12.5,1.3,NA,135,0.01,0.005,NA,3,2015,Winter,57
Deschutes River at Deschutes River Park,2015-04-08,8.7,109,12.5,11.7,2.6,NA,107,0.01,0.005,NA,1,2015,Spring,98
John Day River at Hwy 206,2015-04-23,8.6,107,15.5,10.5,1,NA,131,0.01,0.005,NA,10,2015,Spring,113
John Day River at Hwy 206,2015-06-04,8.5,109,20.7,9.7,0.9,NA,132,0.01,0.005,NA,8,2015,Spring,155
Deschutes River at Deschutes River Park,2015-06-10,8.5,108,18.4,10,1.8,NA,107,0.01,0.005,NA,64,2015,Spring,161
Deschutes River at Deschutes River Park,2015-08-06,8.8,114,18.7,10.5,1.9,NA,126,0.01,0.0081,NA,1,2015,Summer,218
John Day River at Hwy 206,2015-08-13,9.2,147,27.3,11.4,1.2,NA,184,0.01,0.005,NA,2,2015,Summer,225
John Day River at Hwy 206,2015-10-08,8.4,97,17.1,9.3,0.9,NA,181,0.01,0.005,NA,17,2015,Fall,281
Deschutes River at Deschutes River Park,2015-10-21,8.5,107,12.9,11.3,1.3,NA,110,0.01,0.0999,NA,15,2015,Fall,294
John Day River at Hwy 206,2015-12-03,8.4,103,1.5,14,2.4,NA,163,0.01,0.005,NA,5,2015,Fall,337
Deschutes River at Deschutes River Park,2015-12-09,8.1,100,10.4,11.1,1.4,NA,207,0.015,0.171,NA,50,2015,Fall,343
Deschutes River at Deschutes River Park,2016-02-10,8.2,104,7.1,12.7,1.5,NA,96,0.01,0.274,NA,5,2016,Winter,41
John Day River at Hwy 206,2016-02-25,8.2,99,6.6,12.2,1.3,NA,148,0.01,0.081,NA,7,2016,Winter,56
John Day River at Hwy 206,2016-04-14,8.1,100,12.4,10.4,0.7,NA,116,0.01,0.0123,NA,20,2016,Spring,105
Deschutes River at Deschutes River Park,2016-04-27,8.5,107,13,11,1.4,NA,97,0.01,0.0082,NA,1,2016,Spring,118
Bakeoven Creek at mouth,2016-05-12,8,99,14.5,9.8,NA,NA,NA,0.01,0.0795,NA,NA,2016,Spring,133
John Day River at Hwy 206,2016-05-17,8.6,114,20.6,10.1,NA,NA,119,0.01,0.005,NA,NA,2016,Spring,138
John Day River at Hwy 206,2016-06-09,8.8,113,22.4,9.6,0.7,NA,128,0.01,0.005,NA,9,2016,Spring,161
Deschutes River at Deschutes River Park,2016-06-22,8.5,107,17.6,10.2,1.7,NA,119,0.01,0.0106,NA,5,2016,Summer,174
Deschutes River at Deschutes River Park,2016-08-03,8.4,109,18,10.1,1.2,NA,103,0.01,0.113,NA,3,2016,Summer,216
Bakeoven Creek at mouth,2016-08-15,7.8,76,19.5,6.8,NA,NA,NA,0.01,0.0935,NA,NA,2016,Summer,228
John Day River at Hwy 206,2016-08-18,9,109,25.7,8.7,0.5,NA,171,0.01,0.005,NA,3,2016,Summer,231
John Day River at Hwy 206,2016-08-23,9.3,141,25.4,11.4,NA,NA,191,0.01,0.005,NA,NA,2016,Summer,236
Bakeoven Creek at RM 12.98,2016-08-25,8.1,96,13.9,9.3,NA,NA,244,0.01,1.45,NA,NA,2016,Summer,238
John Day River at Hwy 206,2016-10-13,8.6,100,12.7,10.3,0.7,NA,192,0.01,0.005,NA,6,2016,Fall,287
Deschutes River at Deschutes River Park,2016-10-19,8.3,103,11.9,11.3,1.6,NA,104,0.01,0.164,NA,11,2016,Fall,293
John Day River at Hwy 206,2016-11-01,8.7,112,12.7,11.7,NA,NA,NA,NA,NA,NA,NA,2016,Fall,306
Bakeoven Creek at mouth,2016-11-02,8.1,94,12.1,9.9,NA,NA,NA,0.01,0.594,NA,NA,2016,Fall,307
John Day River at Hwy 206,2016-12-08,8.4,101,0,14.6,2.9,NA,162,0.01,0.005,NA,2,2016,Fall,343
Deschutes River at Deschutes River Park,2016-12-20,8.3,104,6.3,12.9,1,NA,108,0.01,0.19,NA,5,2016,Fall,355
John Day River at Hwy 206,2017-02-16,8.2,101,4.4,12.5,2.3,NA,162,0.01,0.245,NA,7,2017,Winter,47
Deschutes River at Deschutes River Park,2017-02-22,7.95,102,6.7,12.5,1.6,NA,135,0.01,0.328,NA,14,2017,Winter,53
Deschutes River at Deschutes River Park,2017-04-05,8.2,102,10.2,11.4,1.1,NA,121,0.01,0.145,NA,2,2017,Spring,95
John Day River at Hwy 206,2017-04-27,8.1,99,10.6,10.8,0.5,NA,146,0.01,0.0082,NA,70,2017,Spring,117
John Day River at Hwy 206,2017-06-08,8.1,98,19.8,8.7,0.7,NA,115,0.01,0.005,NA,7,2017,Spring,159
Deschutes River at Deschutes River Park,2017-06-21,8.5,108,18.7,10.1,1.6,NA,103,0.01,0.014,NA,4,2017,Summer,172
Deschutes River at Deschutes River Park,2017-08-02,8.5,111,20.5,10,1.2,NA,102,0.01,0.0804,NA,2,2017,Summer,214
John Day River at Hwy 206,2017-08-17,8.7,107,23.1,9,0.6,NA,185,0.01,0.005,NA,1,2017,Summer,229
Deschutes River at Deschutes River Park,2017-10-11,8.3,104,11.5,11.4,1,NA,109,0.01,0.243,NA,2,2017,Fall,284
John Day River at Hwy 206,2017-10-19,8.5,100,12.5,10.3,0.8,NA,192,0.01,0.005,NA,5,2017,Fall,292
John Day River at Hwy 206,2017-12-07,8.3,100,1.3,14.3,2.6,NA,152,0.01,0.005,NA,4,2017,Fall,341
Deschutes River at Deschutes River Park,2017-12-19,8.1,105,8.5,12,0.6,NA,101,0.01,0.244,NA,3,2017,Fall,353
John Day River at Hwy 206,2018-02-15,8,104,4.7,13.4,1.6,NA,116,0.01,0.005,NA,1,2018,Winter,46
Deschutes River at Deschutes River Park,2018-02-28,8.3,104,6.5,12.7,1.1,NA,88,0.01,0.173,NA,1,2018,Winter,59
Deschutes River at Deschutes River Park,2018-04-11,8.7,107,11.1,11.7,2.2,NA,108,0.01,0.005,NA,1,2018,Spring,101
John Day River at Hwy 206,2018-04-19,8.1,102,10.9,11.2,0.7,NA,122,0.01,0.0052,NA,18,2018,Spring,109
John Day River at Hwy 206,2018-06-07,8.7,115,21.4,10,0.9,NA,126,0.01,0.005,NA,2,2018,Spring,158
Deschutes River at Deschutes River Park,2018-06-20,8.6,110,19.7,10,1.6,NA,103,0.01,0.005,NA,6,2018,Spring,171
Deschutes River at Deschutes River Park,2018-08-08,8.6,110,20.5,9.9,1.1,NA,86,0.01,0.0216,NA,5,2018,Summer,220
John Day River at Hwy 206,2018-08-16,9.3,133,25.5,10.7,1.4,NA,168,0.01,0.005,NA,1,2018,Summer,228
Deschutes River at Deschutes River Park,2018-10-10,NA,NA,NA,NA,2.4,NA,106,0.01,0.102,NA,5,2018,Fall,283
John Day River at Hwy 206,2018-10-18,8.24,NA,NA,NA,0.6,NA,201,0.01,0.005,NA,4,2018,Fall,291
John Day River at Hwy 206,2018-12-06,NA,NA,NA,NA,1.9,NA,153,0.01,0.005,NA,1,2018,Fall,340
Deschutes River at Deschutes River Park,2018-12-18,NA,NA,NA,NA,1.2,NA,103,0.012,0.194,NA,4,2018,Fall,352
John Day River at Hwy 206,2019-02-14,NA,NA,NA,NA,2,NA,148,0.01,0.0373,NA,10,2019,Winter,45
Deschutes River at Deschutes River Park,2019-02-20,NA,NA,NA,NA,3.2,NA,104,0.01,0.172,NA,1,2019,Winter,51
Deschutes River at Deschutes River Park,2019-04-10,NA,NA,NA,NA,2.5,NA,172,0.016,0.181,NA,36,2019,Spring,100
John Day River at Hwy 206,2019-04-18,NA,NA,NA,NA,0.4,NA,180,0.01,0.12,NA,32,2019,Spring,108
John Day River at Hwy 206,2019-06-06,NA,NA,NA,NA,0.7,NA,145,0.01,0.0059,NA,7,2019,Spring,157
Deschutes River at Deschutes River Park,2019-06-19,NA,NA,NA,NA,2.3,NA,106,0.01,0.017,NA,2,2019,Spring,170
Deschutes River at Deschutes River Park,2019-08-07,NA,NA,NA,NA,1.3,NA,105,0.012,0.0968,NA,44,2019,Summer,219
John Day River at Hwy 206,2019-08-15,NA,NA,NA,NA,1,NA,200,0.01,0.005,NA,12,2019,Summer,227
Deschutes River at Deschutes River Park,2019-10-09,8.4,108,11.6,12,1.4,NA,104,0.013,0.19,NA,4,2019,Fall,282
John Day River at Hwy 206,2019-10-17,8.6,100,12.6,10.4,0.6,NA,202,0.01,0.005,NA,6,2019,Fall,290
John Day River at Hwy 206,2019-12-05,8.4,102,2.1,13.9,2.2,NA,174,0.01,0.005,NA,1,2019,Fall,339
Deschutes River at Deschutes River Park,2019-12-17,9.3,105,5.5,13.3,1.4,NA,107,0.01,0.257,NA,2,2019,Fall,351
John Day River at Hwy 206,2020-02-13,8.2,102,5.6,12.7,1.6,NA,150,0.01,0.0881,NA,8,2020,Winter,44
Deschutes River at Deschutes River Park,2020-02-19,8.2,105,6.3,13.2,1.5,NA,98,0.01,0.198,NA,1,2020,Winter,50
Deschutes River at Deschutes River Park,2020-04-13,8.3,109,12.8,11.7,2.2,NA,101,0.016,0.007,NA,1,2020,Spring,104
John Day River at Hwy 206,2020-04-13,8.1,101,14.2,10.4,1,NA,166,0.01,0.005,NA,NA,2020,Spring,104
