Location,Date_time,Conductivity in μS/cm,Dissolved Oxygen in %,Dissolved Oxygen in mg/L,pH in NA,Temperature
Lower Wapinitia,2015-07-21T00:00:00Z,138,124.6,12.19,8.8,16.4
Lower Wapinitia,2015-08-04T00:00:00Z,NA,133.5,13.1,9.26,16.3
Lower Wapinitia,2015-08-20T00:00:00Z,NA,121.6,11.8,8.79,16.8
Lower Wapinitia,2015-09-02T00:00:00Z,NA,96.1,9.69,7.93,15
Lower Wapinitia,2015-09-17T00:00:00Z,124,105.4,10.88,7.87,13.93
Lower Wapinitia,2015-10-22T00:00:00Z,NA,100.6,10.5,8.05,12.39
Lower Wapinitia,2015-12-21T00:00:00Z,120.5,107.8,11.78,7.92,7.01
Lower Wapinitia,2016-02-22T00:00:00Z,113.8,97.4,11.56,8.33,7.56
Lower Wapinitia,2016-04-20T00:00:00Z,129.8,110.5,11.49,7.81,12.33
Lower Wapinitia,2016-05-04T00:00:00Z,126.5,110.7,11.64,8.2,12.93
Lower Wapinitia,2016-05-18T00:00:00Z,119.5,111.7,11.19,8.22,14.52
Lower Wapinitia,2016-06-08T00:00:00Z,121.3,108,10.44,8.33,15.76
Lower Wapinitia,2016-06-22T00:00:00Z,115.5,114.9,11.53,8.83,14.53
Lower Wapinitia,2016-07-06T00:00:00Z,123.6,111.5,10.98,8.84,16.07
Lower Wapinitia,2016-07-20T00:00:00Z,116.7,106.6,10.75,8.39,14.99
Lower Wapinitia,2016-08-03T00:00:00Z,120.6,105.6,10.51,8.55,15.6
Lower Wapinitia,2016-08-17T00:00:00Z,116.1,106.9,10.5,8.55,16.2
Lower Wapinitia,2016-09-07T00:00:00Z,111.9,106.6,10.84,8.39,14.6
Lower Wapinitia,2016-09-21T00:00:00Z,113.1,103,10.71,8.35,13.56
Lower Wapinitia,2016-10-19T00:00:00Z,113.3,101.8,11.08,8.31,11.54
Sandy Beach,2015-02-26T00:00:00Z,NA,NA,12.97,8.23,7.76
Sandy Beach,2015-04-23T00:00:00Z,NA,NA,13.57,8.71,11.15
Sandy Beach,2015-05-07T00:00:00Z,NA,103.3,10.6,8.9,14.3
Sandy Beach,2015-05-20T00:00:00Z,NA,104.9,10.74,8.63,14.1
Sandy Beach,2015-06-03T00:00:00Z,NA,105.2,10.53,7.85,14.91
Sandy Beach,2015-06-18T00:00:00Z,NA,108,10.48,6.99,16.41
Sandy Beach,2015-07-08T00:00:00Z,76.4,110.9,10.19,9.76,19.6
Sandy Beach,2015-07-23T00:00:00Z,75,106.8,10.51,8.4,16.1
Sandy Beach,2015-08-06T00:00:00Z,NA,101.4,10.01,8.24,16
Sandy Beach,2015-08-20T00:00:00Z,NA,99.4,9.7,8.21,16.5
Sandy Beach,2015-09-02T00:00:00Z,NA,100.8,10.06,8.18,15.5
Sandy Beach,2015-09-17T00:00:00Z,124,103.6,10.63,7.8,14.22
Sandy Beach,2015-10-22T00:00:00Z,117.4,104.5,10.85,8.4,12.67
Sandy Beach,2015-12-21T00:00:00Z,114.6,109.3,12.11,8.02,6.75
Sandy Beach,2016-02-22T00:00:00Z,105.2,94.3,11.48,6.53,6.48
Sandy Beach,2016-04-19T00:00:00Z,120.7,104.3,10.92,7.87,12.33
Sandy Beach,2016-05-03T00:00:00Z,123.8,113.5,10.81,8.14,14.21
Sandy Beach,2016-05-17T00:00:00Z,115.8,104.1,10.53,7.91,14.12
Sandy Beach,2016-06-07T00:00:00Z,120.6,110.8,10.35,7.89,17.1
Sandy Beach,2016-06-21T00:00:00Z,116.3,113.9,10.82,8.06,14.78
Sandy Beach,2016-07-05T00:00:00Z,123.6,100.2,9.82,8.75,16.3
Sandy Beach,2016-07-19T00:00:00Z,116,101.4,10.12,8.21,15.49
Sandy Beach,2016-08-02T00:00:00Z,119.8,100.9,9.86,8.42,16.43
Sandy Beach,2016-08-16T00:00:00Z,116.8,99.1,9.68,8.02,16.47
Sandy Beach,2016-09-06T00:00:00Z,112,96.3,9.76,7.73,14.72
Sandy Beach,2016-09-19T00:00:00Z,112.7,107.1,10.94,8.41,14.32
Sandy Beach,2016-10-18T00:00:00Z,111.1,97.5,10.57,8,11.72
Sandy Beach,2017-06-14T00:00:00Z,62.6,100.5,10.37,8.26,13.93
Sandy Beach,2017-07-14T00:00:00Z,115.2,98.2,9.44,8.25,17.22
Sandy Beach,2017-08-14T00:00:00Z,112.1,102.3,10.09,8.1,16.02
Sandy Beach,2017-09-14T00:00:00Z,107.4,95.1,9.79,8.13,13.99
Wreck,2015-04-23T00:00:00Z,NA,NA,14.64,8.69,12.39
Wreck,2015-05-07T00:00:00Z,NA,108.3,11.14,8.71,14.1
Wreck,2015-05-20T00:00:00Z,NA,112.2,11.28,8.61,14.8
Wreck,2015-06-03T00:00:00Z,NA,114,11.19,8.68,15.8
Wreck,2015-06-18T00:00:00Z,NA,122.2,11.51,7.54,17.83
Wreck,2015-07-08T00:00:00Z,82.3,123,11.01,9.67,20.8
Wreck,2015-07-23T00:00:00Z,72.5,131.9,12.49,9.31,18
Wreck,2015-08-06T00:00:00Z,NA,113.6,11.02,8.39,16.9
Wreck,2015-08-20T00:00:00Z,NA,120.7,11.45,8.48,17.9
Wreck,2015-09-02T00:00:00Z,NA,112.1,11.04,8.44,16.1
Wreck,2015-09-17T00:00:00Z,124,113.2,11.59,7.77,14.24
Wreck,2015-10-22T00:00:00Z,118.1,117.9,12.09,8.57,13.1
Wreck,2015-12-21T00:00:00Z,115.7,118.1,13.05,8.08,6.81
Wreck,2016-02-22T00:00:00Z,106.4,104.7,12.53,7.85,7.2
Wreck,2016-04-20T00:00:00Z,122.7,122.6,12.25,8.18,14.02
Wreck,2016-05-04T00:00:00Z,122.4,115.3,11.9,8.05,13.81
Wreck,2016-05-18T00:00:00Z,117.8,115.2,11.32,8.2,15.52
Wreck,2016-06-08T00:00:00Z,120.4,115.6,10.73,8.34,17.66
Wreck,2016-06-22T00:00:00Z,116.4,118.8,11.6,8.6,15.86
Wreck,2016-07-06T00:00:00Z,122.7,113.7,11.01,8.91,16.87
Wreck,2016-07-20T00:00:00Z,116,115.5,11.38,8.49,16.06
Wreck,2016-08-03T00:00:00Z,119.5,113.7,11.05,8.62,16.66
Wreck,2016-08-17T00:00:00Z,116,112.9,10.81,8.47,17.4
Wreck,2016-09-07T00:00:00Z,112.1,114.6,11.52,8.35,15.15
Wreck,2016-09-21T00:00:00Z,112.8,110.1,11.35,8.3,13.97
Wreck,2016-10-19T00:00:00Z,111.9,108,11.79,8.1,11.41
Wreck,2017-06-13T00:00:00Z,62.3,114.7,11.55,8.4,15.04
Wreck,2017-07-13T00:00:00Z,115.3,115.8,10.78,8.61,18.6
Wreck,2017-08-15T00:00:00Z,112.5,116,11.39,8.53,16.21
Wreck,2017-09-11T00:00:00Z,108.4,117.7,11.75,8.67,15.45
Rattlesnake,2015-04-23T00:00:00Z,NA,NA,14.31,8.71,12.5
Rattlesnake,2015-05-07T00:00:00Z,NA,107.8,11.01,8.69,14.4
Rattlesnake,2015-05-20T00:00:00Z,NA,111.9,11.31,8.63,14.9
