"","Date_time","Mean Temperature","Year","Season","SUMMER.STEELHEAD_Hatchery","SUMMER.STEELHEAD_Wild","SUMMER.STEELHEAD_RM","SUMMER.STEELHEAD_LM","SPRING.CHINOOK_Hachery","SPRING.CHINOOK_Wild","SPRING.CHINOOK_RM","SPRING.CHINOOK_LM","Sockeye_NoMark","Sockeye_RM","Sockeye_LM","Fall.Chinook","Bull.Trout","Rainbow.Trout","Total"
"36",2014-03-28,8.5,2014,"Spring",12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18
"37",2014-03-31,9,2014,"Spring",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,26
"38",2014-04-02,9,2014,"Spring",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12
"39",2014-04-07,9.4,2014,"Spring",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
"40",2014-04-09,9.7,2014,"Spring",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"41",2014-04-11,9.8,2014,"Spring",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"42",2014-04-14,9.7,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
"43",2014-04-16,10,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"44",2014-04-21,10.8,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"45",2014-04-23,10.9,2014,"Spring",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"46",2014-04-25,11.3,2014,"Spring",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
"47",2014-04-28,11.3,2014,"Spring",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7
"48",2014-04-30,11.4,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"49",2014-05-02,12,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
"50",2014-05-05,12.5,2014,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7
"51",2014-05-07,12.5,2014,"Spring",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,19,22
